,source_data,target_data,Method,Classifier,ConformalPredictor,alpha,predicted_coverage,predicted_size,Top1,Top5,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_beta,predicted_tau
0,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.01,1.0,345.0,,,,,,,,
1,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.025,0.888,170.659,,,,,,,,
2,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.05,0.779,95.119,,,,,,,,
3,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.075,0.701,56.438,,,,,,,,
4,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.1,0.638,36.325,,,,,,,,
5,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.15,0.533,15.025,,,,,,,,
6,DomainNetAll,DomainNetInfograph,PS-C,ResNet101,,0.2,0.467,7.354,,,,,,,,
7,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.01,1.0,345.0,,,,,,,,
8,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.025,1.0,345.0,,,,,,,,
9,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.05,1.0,345.0,,,,,,,,
10,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.075,1.0,345.0,,,,,,,,
11,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.1,1.0,345.0,,,,,,,,
12,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.15,1.0,345.0,,,,,,,,
13,DomainNetAll,DomainNetInfograph,PS-M,ResNet101,,0.2,0.94,232.358,,,,,,,,
14,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.01,1.0,345.0,,,,,,,,
15,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.025,1.0,345.0,,,,,,,,
16,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.05,1.0,345.0,,,,,,,,
17,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.075,0.951,246.75,,,,,,,,
18,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.1,0.91,193.402,,,,,,,,
19,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.15,0.864,152.299,,,,,,,,
20,DomainNetAll,DomainNetInfograph,PS-R,ResNet101,,0.2,0.799,106.672,,,,,,,,
21,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.01,1.0,345.0,,,,,,,,
22,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.025,1.0,345.0,,,,,,,,
23,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.05,1.0,345.0,,,,,,,,
24,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.075,1.0,345.0,,,,,,,,
25,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.1,0.94,232.358,,,,,,,,
26,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.15,0.898,182.493,,,,,,,,
27,DomainNetAll,DomainNetInfograph,PS-W,ResNet101,,0.2,0.852,142.478,,,,,,,,
28,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.01,0.984,301.773,0.288,0.44,0.9999999063824224,0.952,248.031,0.9999999996331518,0.004759999923408,0.9999999978382218
29,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.025,0.935,226.397,0.288,0.44,0.9999964291352332,0.872,158.264,0.9999999907078913,0.0127800004556775,0.9999997389534704
30,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.05,0.875,160.666,0.288,0.44,0.9999556211105282,0.766,87.348,0.9999998886302895,0.0244600009173154,0.9999967181752148
31,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.075,0.827,124.375,0.288,0.44,0.999800179496112,0.692,52.193,0.9999995314512904,0.0347799994051456,0.999988374603492
32,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.1,0.776,93.219,0.288,0.44,0.999383334127625,0.623,32.425,0.999998625042521,0.0467800013720989,0.9999644648050412
33,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.15,0.697,54.663,0.288,0.44,0.9966030460483788,0.523,13.68,0.999993359288263,0.0728000029921531,0.9998229042573424
34,DomainNetAll,DomainNetInfograph,QTC,ResNet101,TPS,0.2,0.618,30.968,0.288,0.44,0.9880219809126556,0.457,6.64,0.9999786575288376,0.1019999980926513,0.9993186157790308
35,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.01,0.827,124.951,0.288,0.44,0.9999999063824224,0.952,248.031,0.9999999996331518,0.0339000225067138,0.9999886100945964
36,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.025,0.727,67.065,0.288,0.44,0.9999964291352332,0.872,158.264,0.9999999907078913,0.060800015926361,0.9998992294663416
37,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.05,0.62,31.498,0.288,0.44,0.9999556211105282,0.766,87.348,0.9999998886302895,0.1028599739074707,0.9993433740654128
38,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.075,0.533,15.086,0.288,0.44,0.999800179496112,0.692,52.193,0.9999995314512904,0.1426399946212768,0.997157091100534
39,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.1,0.488,9.144,0.288,0.44,0.999383334127625,0.623,32.425,0.999998625042521,0.1781799793243408,0.9930702493846724
40,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.15,0.391,3.038,0.288,0.44,0.9966030460483788,0.523,13.68,0.999993359288263,0.2625399827957153,0.9574617234549896
41,DomainNetAll,DomainNetInfograph,QTC-SC,ResNet101,TPS,0.2,0.329,1.46,0.288,0.44,0.9880219809126556,0.457,6.64,0.9999786575288376,0.3333200216293335,0.8641252393292597
42,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.01,0.539,15.95,0.288,0.44,0.9999999063824224,0.952,248.031,0.9999999996331518,,0.9974329471588136
43,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.025,0.539,15.95,0.288,0.44,0.9999964291352332,0.872,158.264,0.9999999907078913,,0.9974329471588136
44,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.05,0.539,15.95,0.288,0.44,0.9999556211105282,0.766,87.348,0.9999998886302895,,0.9974329471588136
45,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.075,0.539,15.95,0.288,0.44,0.999800179496112,0.692,52.193,0.9999995314512904,,0.9974329471588136
46,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.1,0.539,15.95,0.288,0.44,0.999383334127625,0.623,32.425,0.999998625042521,,0.9974329471588136
47,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.15,0.539,15.95,0.288,0.44,0.9966030460483788,0.523,13.68,0.999993359288263,,0.9974329471588136
48,DomainNetAll,DomainNetInfograph,QTC-ST,ResNet101,TPS,0.2,0.511,12.105,0.288,0.44,0.9880219809126556,0.457,6.64,0.9999786575288376,,0.9957643151283264
49,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.01,0.995,329.916,,,,,,,,
50,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.025,0.978,291.618,,,,,,,,
51,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.05,0.947,240.735,,,,,,,,
52,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.075,0.92,204.821,,,,,,,,
53,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.1,0.887,169.646,,,,,,,,
54,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.15,0.815,116.823,,,,,,,,
55,DomainNetAll,DomainNetInfograph,WSCI,ResNet101,,0.2,0.754,81.093,,,,,,,,
