,source_data,target_data,Method,Classifier,ConformalPredictor,alpha,predicted_coverage,predicted_size,Top1,Top5,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_beta,predicted_tau
0,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.01,0.951,246.75,,,,,,,,
1,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.025,0.814,116.141,,,,,,,,
2,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.05,0.696,54.107,,,,,,,,
3,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.075,0.609,28.865,,,,,,,,
4,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.1,0.547,17.064,,,,,,,,
5,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.15,0.466,7.296,,,,,,,,
6,DomainNetReal,DomainNetInfograph,PS-C,ResNet101,,0.2,0.405,3.575,,,,,,,,
7,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.01,1.0,345.0,,,,,,,,
8,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.025,1.0,345.0,,,,,,,,
9,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.05,1.0,345.0,,,,,,,,
10,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.075,1.0,345.0,,,,,,,,
11,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.1,1.0,345.0,,,,,,,,
12,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.15,0.921,206.516,,,,,,,,
13,DomainNetReal,DomainNetInfograph,PS-M,ResNet101,,0.2,0.88,164.161,,,,,,,,
14,DomainNetReal,DomainNetInfograph,PS-R,ResNet101,,0.01,1.0,345.0,,,,,,,,
15,DomainNetReal,DomainNetInfograph,PS-R,ResNet101,,0.025,1.0,345.0,,,,,,,,
16,DomainNetReal,DomainNetInfograph,PS-R,ResNet101,,0.05,1.0,345.0,,,,,,,,
17,DomainNetReal,DomainNetInfograph,PS-R,ResNet101,,0.075,0.847,138.561,,,,,,,,
18,DomainNetReal,DomainNetInfograph,PS-R,ResNet101,,0.1,0.76,84.384,,,,,,,,
