,Dataset,Method,Classifier,ConformalPredictor,Top1,Top5,alpha,use_platt_scaling,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_alpha,predicted_tau,predicted_coverage,predicted_size,on_classes_of,raps_kreg,raps_lambda,shift_type
0,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,,1.0021576881408691,1.0,1000.0,,-1.0,0.0,ImageNet
1,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,,0.9990609884262084,0.951,19.454,,-1.0,0.0,ImageNet
2,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,,0.9979813098907472,0.932,12.509,,-1.0,0.0,ImageNet
3,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,,1.5074879395346104,1.0,1000.0,,-1.0,0.0,ImageNet
4,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,,1.0132648944854736,1.0,1000.0,,-1.0,0.0,ImageNet
5,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,0.0040400000289082,0.9999727708171922,0.991,119.108,,-1.0,0.0,ImageNet
6,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.01,False,0.999823020635074,0.976,48.805,0.9999699558436432,0.0062999725341796,0.9999347679725792,0.985,80.362,,-1.0,0.0,ImageNet
7,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.01,,0.999823006067728,0.976,48.805,0.9999699868010828,,0.9977999925613404,0.93,11.896,,,,ImageNet
8,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,,1.0010076761245728,1.0,1000.0,,-1.0,0.0,ImageNet
9,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,,0.998674750328064,0.942,15.957,,-1.0,0.0,ImageNet
10,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,,0.9936453104019164,0.898,6.449,,-1.0,0.0,ImageNet
11,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,,0.99922946211632,0.955,21.785,,-1.0,0.0,ImageNet
12,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,,0.9937421679496764,0.898,6.504,,-1.0,0.0,ImageNet
13,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,0.0122400000691413,0.9997255814775436,0.971,38.693,,-1.0,0.0,ImageNet
14,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.025,False,0.9987417373315584,0.943,16.452,0.9998061066844316,0.0149999856948852,0.9995765737670764,0.965,30.505,,-1.0,0.0,ImageNet
15,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.025,,0.9987416721289238,0.943,16.451,0.9998061030635116,,0.9977999925613404,0.93,11.896,,,,ImageNet
16,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,,0.9984685182571412,0.939,14.675,,-1.0,0.0,ImageNet
17,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,,0.9969521760940552,0.923,9.854,,-1.0,0.0,ImageNet
18,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,,0.9935554265975952,0.897,6.4,,-1.0,0.0,ImageNet
19,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,,0.9978174470709682,0.931,11.951,,-1.0,0.0,ImageNet
20,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,,1.0027251243591309,1.0,1000.0,,-1.0,0.0,ImageNet
21,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,0.0246399994939565,0.9987755910284128,0.944,16.712,,-1.0,0.0,ImageNet
22,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.05,False,0.99363269250561,0.898,6.441,0.9990427391880236,0.0289999842643737,0.9981926918806794,0.935,13.337,,-1.0,0.0,ImageNet
23,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.05,,0.9936310789862414,0.898,6.44,0.999042260780442,,0.9962999820709229,0.917,8.811,,,,ImageNet
24,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,0.9935741424560548,0.898,6.411,,-1.0,0.0,ImageNet
25,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,0.9927871227264404,0.893,6.012,,-1.0,0.0,ImageNet
26,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,0.9902845621109008,0.882,5.108,,-1.0,0.0,ImageNet
27,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,0.9933588709487532,0.895,6.293,,-1.0,0.0,ImageNet
28,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,1.0041089057922363,1.0,1000.0,,-1.0,0.0,ImageNet
29,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,0.0381000004708766,0.9966407766919568,0.92,9.316,,-1.0,0.0,ImageNet
30,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,0.0443000197410583,0.9952806074731468,0.909,7.648,,-1.0,0.0,ImageNet
31,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.075,,0.981972683211281,0.853,3.655,0.9971304366251283,,0.9887999892234802,0.876,4.715,,,,ImageNet
32,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.989107608795166,0.877,4.788,,-1.0,0.0,ImageNet
33,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9897371530532836,0.88,4.954,,-1.0,0.0,ImageNet
34,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9896599054336548,0.88,4.934,,-1.0,0.0,ImageNet
35,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9884305446251036,0.874,4.635,,-1.0,0.0,ImageNet
36,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.991066038608551,0.885,5.344,,-1.0,0.0,ImageNet
37,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,0.0523799993097782,0.9929141575320916,0.894,6.072,,-1.0,0.0,ImageNet
38,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,0.0591999888420105,0.990349608864082,0.883,5.129,,-1.0,0.0,ImageNet
39,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.1,,0.9612278006924614,0.812,2.474,0.9940215067687538,,0.9782000184059144,0.844,3.306,,,,ImageNet
40,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9691547155380248,0.826,2.773,,-1.0,0.0,ImageNet
41,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9702138900756836,0.828,2.822,,-1.0,0.0,ImageNet
42,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9776182770729064,0.843,3.259,,-1.0,0.0,ImageNet
